chembl_id,smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
CHEMBL1201248,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,929.16,8.07,12.0,0.0,126.44000000000004,24.0,67.0,1
CHEMBL1201250,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,404.51,2.42,6.0,0.0,68.31,6.0,29.0,1
CHEMBL1201251,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,317.39,2.45,5.0,5.0,92.95,8.0,23.0,1
CHEMBL1201255,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,1323.53,,,,446.8599999999999,34.0,96.0,1
CHEMBL1201256,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,388.46,2.58,6.0,1.0,69.26,10.0,28.0,1
CHEMBL1201260,C/N=C(\NC)NCc1ccccc1,177.25,0.98,1.0,2.0,36.42,2.0,13.0,1
CHEMBL1201261,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,641.02,4.89,2.0,2.0,66.4,7.0,22.0,1
CHEMBL1201262,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,351.44,2.84,6.0,2.0,84.85999999999999,5.0,25.0,1
CHEMBL1201263,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,475.63,2.67,7.0,2.0,104.14,7.0,34.0,1
CHEMBL1201264,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,340.44,3.95,3.0,0.0,35.53,6.0,25.0,1
CHEMBL1201265,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)O)[C@@]2(C)C=CC(=O)C=C12,474.55,2.22,7.0,3.0,138.20000000000002,6.0,34.0,1
CHEMBL1201266,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,311.64,0.26,5.0,4.0,156.59,2.0,21.0,1
CHEMBL1201269,CC(C)(N)Cc1ccc(Cl)cc1,183.68,2.62,1.0,1.0,26.02,2.0,12.0,1
CHEMBL1201270,C1N2CN3CN1CN(C2)C3,140.19,-1.02,4.0,0.0,12.96,0.0,10.0,1
CHEMBL1201271,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,433.04,6.54,2.0,0.0,6.48,5.0,31.0,1
CHEMBL1201273,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,331.37,2.08,6.0,4.0,91.18,6.0,24.0,1
CHEMBL1201274,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,307.43,2.39,4.0,2.0,50.72,11.0,22.0,1
CHEMBL1201275,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,544.7,4.1,6.0,1.0,117.82,9.0,37.0,1
CHEMBL1201281,O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,423.2,1.32,7.0,3.0,156.07,10.0,27.0,1
CHEMBL1201284,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,357.42,6.14,1.0,1.0,12.03,6.0,26.0,1
