logp,mol_weight,hba,heavy_atoms,hbd,rotatable_bonds,smiles,tpsa,drug_like
2.37,766.97,2.0,54.0,5.0,26.0,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,194.5,1
3.28,872.82,1.0,62.0,4.0,11.0,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1.CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1.O=C(O)CCC(=O)O,199.2,1
3.83,299.85,1.0,21.0,1.0,3.0,CNCCC=C1c2ccccc2CCc2ccccc21.Cl,12.03,1
6.0297200000000055,568.6700000000003,7.0,42.0,2.0,8.0,CC1=CC=C(C=C1)NC(=O)C2=C(NC3=C(C2C4=C(C=CC(=C4)OC)OC)C(=O)CC(C3)C5=CC(=C(C=C5)OC)OC)C,95.12,0
0.64,287.3,0.0,19.0,7.0,3.0,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,106.02,1
4.83,340.49,0.0,24.0,4.0,5.0,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,23.550000000000004,1
4.16,435.53,2.0,32.0,5.0,10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,112.07,1
1.99,369.42,0.0,27.0,6.0,2.0,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,65.07000000000001,1
3.57,250.34,1.0,18.0,2.0,6.0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,46.53,1
3.93,357.79,1.0,25.0,4.0,5.0,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,68.53,1
4.99,366.43,2.0,28.0,6.0,5.0,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,97.42,1
,901.23,,62.0,,38.0,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC.CCCCCCCC(=O)OCC(O)CO.CCCCCCCCCC(=O)OCC(O)CO.OCC(O)CO,267.04,1
0.06,136.11,2.0,10.0,4.0,0.0,Oc1ncnc2[nH]ncc12,74.69,1
4.970220000000007,1184.3260000000002,21.0,85.0,7.0,6.0,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C(=O)C2=CNN5CCN(CC5)C)O)C,291.67,0
6.61,406.91,2.0,21.0,2.0,2.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,40.46,1
-0.35,303.68,3.0,20.0,8.0,2.0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,119.31000000000002,1
,132.91,,1.0,,0.0,[133Xe],0.0,1
3.44,494.58,2.0,35.0,6.0,3.0,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,100.9,1
5.8,444.7,0.0,28.0,3.0,6.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,90.42,1
2.01,318.35,3.0,22.0,4.0,5.0,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,95.5,1
2.72,430.54,2.0,31.0,6.0,4.0,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,93.06,1
1.98,425.51,1.0,30.0,7.0,5.0,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,96.67,1
1.33,165.24,2.0,12.0,2.0,3.0,CN[C@@H](C)[C@@H](O)c1ccccc1,32.26,1
6.91,597.91,0.0,43.0,5.0,7.0,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,55.84,1
,1084.73,,72.0,,36.0,CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O.Cl,557.7099999999999,1
3.33,336.45,2.0,24.0,3.0,0.0,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,57.53,1
3.37,548.61,0.0,38.0,6.0,9.0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.O=C(O)CC(O)C(=O)O,153.91,1
0.88,310.34,2.0,21.0,7.0,5.0,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,116.43,1
-0.21,186.24,2.0,12.0,3.0,2.0,NCc1ccc(S(N)(=O)=O)cc1,86.18,1
3.78,433.96,2.0,28.0,4.0,9.0,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,122.99,1
6.299600000000005,767.166,10.0,55.0,2.0,8.0,COC1=CC(=CC(=C1O)OC)C2C3=CCC4C(C3CC5C2(C(=O)N(C5=O)NC6=CC=C(C=C6)F)C7=CC=C(C=C7)Cl)C(=O)N(C4=O)C8=CC=C(C=C8)[N+](=O)[O-],168.61999999999998,0
3.89,281.4,0.0,21.0,2.0,4.0,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,12.47,1
2.63,481.42,2.0,31.0,7.0,7.0,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+],145.75,1
4.16,384.59,2.0,26.0,4.0,14.0,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,69.64,1
