smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
C1C(C(C(C(O1)OC2=C(C3=C(C=C2)C(=O)C(=CO3)C4=CC=C(C=C4)O)C5C(C(C(C(O5)CO)O)O)O)O)O)O,548.4970000000003,-1.5017000000000003,8,13,219.73999999999998,5,39,0
CCOC1=C(C=CC(=C1)C2C3=CCC4C(C3CC5C2(C(=O)N(C5=O)NC6=C(C=C(C=C6)Cl)Cl)C7=CC=C(C=C7)OC)C(=O)N(C4=O)C8=CC=C(C=C8)I)O,878.5470000000001,7.9004000000000065,2,8,125.48,8,54,0
CC1CN(CCN1C(=O)C2=CC(=CC=C2)Cl)C(=O)CSC3=NN=C(N3C4=CC=C(C=C4)OC)C5=CC=C(C=C5)C,576.1220000000003,5.369920000000006,0,7,80.56000000000002,7,40,0
CCOC(=O)C(CC1=CC=C(C=C1)OCC2=NC3=C(N2C)C=C(C=C3)OCC4(CCC5=C(O4)C(=C(C(=C5C)O)C)C)C)OC6=CC=CC=C6,664.7990000000004,7.49906000000001,1,9,101.27000000000001,12,49,0
CCN1C(=C(C(=C(C1=O)C#N)C)C=C2C(=O)N(C(=S)S2)C3=C(N(N(C3=O)C4=CC=CC=C4)C)C)N5CCN(CC5)C6=CC=CC=C6F,669.8079999999999,4.717620000000005,0,11,99.50999999999999,6,47,0
CC(=O)C1C(C2(C3N1C4=CC=CC=C4C=C3)C5=CC=CC=C5NC2=O)C(=O)C6=CC=C(C=C6)Br,513.3910000000002,5.011300000000004,1,4,66.48,3,34,0
COC1=CC(=C(C=C1)NC2=C(C(=C(S2)C(=O)C3=CC=CC=C3)N)C(=O)NCCC4=CC=CC=C4)OC,501.60800000000023,5.294600000000004,3,7,102.67999999999999,10,36,0
CC1=CC=C(C=C1)NC(=O)CC2=CSC(=N2)NC(=O)CN(C(C)C)C(=O)C3=C(C=C(C=C3)Cl)Cl,519.4540000000003,5.428820000000004,2,5,91.4,8,34,0
C1=CC(=CC=C1C=C2C(=O)N(C(=S)S2)CNC3=C(C=CC(=C3)Cl)Cl)I,521.2320000000001,5.868800000000002,1,4,32.34,4,25,0
C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4CC(OC(O4)C5=CC=C(C=C5)CNC(=O)CCCCCCC(=O)NC6=CC=CC=C6N)C7=CC=C(C=C7)CO,774.9630000000001,6.882100000000007,5,9,163.94,16,57,0
